"","exporter_iso3","industry_id","GL","setor","renda"
"85","ABW",119,0.715731604089389,"Não-serviços","Renda alta"
"86","ABW",120,0.245103439410713,"Não-serviços","Renda alta"
"87","ABW",121,0.0621093497986739,"Não-serviços","Renda alta"
"88","ABW",122,0.285012400579358,"Não-serviços","Renda alta"
"89","ABW",123,0.0573305581649507,"Não-serviços","Renda alta"
"90","ABW",124,0.0433150018565532,"Não-serviços","Renda alta"
"91","ABW",125,0.0711116907704195,"Não-serviços","Renda alta"
"92","ABW",126,0.0678194250755993,"Não-serviços","Renda alta"
"93","ABW",127,0.0227470687513464,"Não-serviços","Renda alta"
"94","ABW",128,0.185094791341708,"Não-serviços","Renda alta"
"95","ABW",129,0.0609840212873064,"Não-serviços","Renda alta"
"96","ABW",130,0.108412830331305,"Não-serviços","Renda alta"
"97","ABW",131,0.0728600292933764,"Não-serviços","Renda alta"
"98","ABW",132,0.04903318712696,"Não-serviços","Renda alta"
"99","ABW",133,0.0180956679611012,"Não-serviços","Renda alta"
"100","ABW",134,0.187979755119221,"Não-serviços","Renda alta"
"101","ABW",135,0.0481741478219498,"Não-serviços","Renda alta"
"102","ABW",136,0.144878935753894,"Não-serviços","Renda alta"
"103","ABW",137,0.156263176957733,"Não-serviços","Renda alta"
"104","ABW",138,0.0358456072819063,"Não-serviços","Renda alta"
"105","ABW",139,0.17616448961834,"Não-serviços","Renda alta"
"106","ABW",140,0.379336694032682,"Não-serviços","Renda alta"
"107","ABW",141,0.0172232658953471,"Não-serviços","Renda alta"
"108","ABW",142,0.0562852850596459,"Não-serviços","Renda alta"
"109","ABW",144,0.97464713813877,"Não-serviços","Renda alta"
"110","ABW",145,0.288196730722562,"Não-serviços","Renda alta"
"111","ABW",146,0.0687767911070628,"Não-serviços","Renda alta"
"112","ABW",147,0.176031544852838,"Não-serviços","Renda alta"
"113","ABW",148,0.0623781584063171,"Não-serviços","Renda alta"
"114","ABW",149,0.00486206726930527,"Não-serviços","Renda alta"
"115","ABW",150,0.0176404961872815,"Não-serviços","Renda alta"
"116","ABW",151,0.0362249410251569,"Não-serviços","Renda alta"
"117","ABW",152,0.0156254801553495,"Não-serviços","Renda alta"
"118","ABW",153,0.0133859121748856,"Não-serviços","Renda alta"
"119","ABW",156,0.153846153846154,"Serviços","Renda alta"
"120","AFG",2,0.901063212835879,"Não-serviços","Renda não-alta"
"121","AFG",3,0.00216333153055714,"Não-serviços","Renda não-alta"
"122","AFG",5,0.723247232472325,"Não-serviços","Renda não-alta"
"123","AFG",7,0.754673067132155,"Não-serviços","Renda não-alta"
"124","AFG",8,0.152173913043478,"Não-serviços","Renda não-alta"
"125","AFG",10,0.00853788687299895,"Não-serviços","Renda não-alta"
"126","AFG",11,0.587034560427958,"Não-serviços","Renda não-alta"
"127","AFG",12,0.852626450973475,"Não-serviços","Renda não-alta"
"128","AFG",13,0.394111382723818,"Não-serviços","Renda não-alta"
"129","AFG",14,0.0909328815613679,"Não-serviços","Renda não-alta"
"130","AFG",16,0.856125637881245,"Não-serviços","Renda não-alta"
"131","AFG",17,0.0650822669104205,"Não-serviços","Renda não-alta"
"132","AFG",20,0.474697469746975,"Não-serviços","Renda não-alta"
"133","AFG",22,0.0629967189208895,"Não-serviços","Renda não-alta"
"134","AFG",23,0.0426598049837486,"Não-serviços","Renda não-alta"
"135","AFG",24,0.0946236559139785,"Não-serviços","Renda não-alta"
"136","AFG",25,0.871733436211903,"Não-serviços","Renda não-alta"
